time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.000264945094433,0.0019826763133012903,0.0001022412835096631,0.0,0.0,0.0,0.02649450944333263,0.008905450720319473,-0.0020222886392411007,0.0,431.0957037650142,430.5828565006947,428.7058578542166,430.96951998185773
0.04,-2.457555479681204e-07,4.765720507665791e-06,10.001236512698231,0.005166637664192564,0.0013977515884455727,0.0,-2.457555479681204e-05,0.00047657205076657907,0.07066225093642793,-0.0020596800796022566,-0.009332435225242016,0.0,447.4097127166563,445.6210013944013,449.0021641226641,446.32581777805416
0.06,-3.833312812006335e-06,2.5741303016885546e-05,10.002902745580046,0.006147101212171435,0.0012346950738706397,0.0,-0.0003341801716070094,0.0016209862001553964,0.09596103724516922,-0.008452354479479264,-0.008360999382173181,0.0,429.6838300901725,429.9308954722946,429.3909010862025,427.76120943724356
0.08,-1.3467381085843749e-05,7.285022093587605e-05,10.005249550159185,0.00604648588416179,0.0022807473070152184,0.0,-0.000629226655776732,0.003089905591743654,0.13871942066864096,-0.010106824323018711,-0.0013945879077113211,0.0,444.7395030890439,446.4477994816628,446.19313623599004,445.7879372231888
0.1,-3.165977192949793e-05,0.00014951517591842338,10.008520669987353,0.006305402117277481,0.005224692358506644,0.0,-0.0011900124285886863,0.00457658990651108,0.1883925621481865,-0.014401251966259247,-0.012297499096280952,0.0,453.1041353493094,450.4673850504557,453.1435041534283,452.1069837990767
0.12000000000000001,-6.880626594587427e-05,0.00025715353952064564,10.012880902922735,0.006109936709510322,0.006779390508847349,0.0,-0.0025246369730489463,0.006187246453711144,0.24763073138988007,-0.01247709364057367,-0.003810690197133079,0.0,460.9021416026511,462.90977218747673,459.7358218230958,460.1930074667062
0.14,-0.00013752978619206471,0.00039732853415373157,10.018560573147008,0.006212510417648254,0.008069549075640836,0.0,-0.004347715051570097,0.007830253009597454,0.3203362910375078,-0.008724145034746167,-0.011203585085433345,0.0,472.8071714487082,471.09571722019524,473.52427017595295,474.38956959088785
0.16,-0.00024315466375080831,0.0005683069577021773,10.025318909904492,0.009204649160918343,0.007891814109400208,0.0,-0.006214772704304263,0.009267589345247114,0.35549738471097825,0.0025304036349525112,-0.00984216324826386,0.0,439.2187552705084,439.5574206199739,436.70362840937156,439.51058471880356
0.18,-0.00038626217083735626,0.0007755992701379045,10.032850443042415,0.009426350676132067,0.007732827539758347,0.0,-0.00809597800435053,0.011461641898325606,0.3976559290812985,-8.565020635105261e-05,-0.00861160735235578,0.0,445.9405972762438,446.24212438884445,444.9473333936942,444.3044126662707
0.19999999999999998,-0.0005675229975144093,0.001028407971526773,10.04134257541594,0.009451837822900266,0.007562025876271861,0.0,-0.010030104663354774,0.01381922824056123,0.4515573082712759,-0.0011287254844644216,-0.008372401703560467,0.0,455.2772393629303,455.33476464354266,457.2602907008555,457.01098149172816
0.21999999999999997,-0.0007908351392742635,0.0013331763904133747,10.051414674041114,0.009576414208193107,0.00790445036400289,0.0,-0.012301109512630653,0.01665761364809894,0.5556525542460754,-0.003554840856680212,-0.012888473101588036,0.0,499.66569719887843,498.6773105605664,500.935813279985,500.40638156131
0.23999999999999996,-0.0010572216498186422,0.0016909986712420435,10.063141828448527,0.009505802330227908,0.008169568201438437,0.0,-0.014337541541807202,0.019124614434767925,0.6170628864953169,-0.0036941160042993967,-0.008315127282748011,0.0,463.07011989490223,464.14809407308496,462.71258463234886,462.6797651204623
0.25999999999999995,-0.0013612935395333015,0.0020936430964169834,10.075641088306485,0.011364314806486142,0.011645268953507149,0.0,-0.016069647429658735,0.02113982808272606,0.6328630993003989,0.0050976865329378125,0.0037546751973644866,0.0,417.8323802262163,420.9769516309808,420.01384330003924,422.2948617904066
0.27999999999999997,-0.0017132634256841772,0.0025462756959464686,10.088961728943417,0.01378992570744142,0.01381422487664441,0.0,-0.019127341185428828,0.024123431870222468,0.6992009643927164,-0.004543178926752574,-0.005397073092859061,0.0,469.3351876011206,467.1996743129182,468.15979364457513,465.9041813354298
0.3,-0.002126023677269483,0.0030589003947882588,10.103170496355323,0.01372922262144094,0.01370792107105867,0.0,-0.022148683973101723,0.027139038013956528,0.7216757767980385,-0.0034448075408496327,-0.0051411312032721155,0.0,426.58322083506084,426.64886545428004,427.1737113532595,427.4546493260803
0.32,-0.0025986933810075463,0.003631418514893465,10.117807963241887,0.014011053138418994,0.01375111455812128,0.0,-0.025118286400704577,0.030112773996564115,0.7420709118582467,-0.007190347116371157,-0.0027243886755866607,0.0,423.96236032585585,424.5848450517918,426.1366051138224,425.1751982398873
0.34,-0.0031323626050031397,0.00426556340002046,10.132963375177946,0.014053682071390128,0.013723983347375679,0.0,-0.028248635998854774,0.03330171451613547,0.7734702817477106,-0.009921177578323979,-0.0016783186441543608,0.0,435.9112983247778,436.1734818798795,435.5625769476195,434.8770915899823
0.36000000000000004,-0.003726848775074496,0.004961813567702112,10.148620833274403,0.014603577649289434,0.013879708782779332,0.0,-0.0311999810082809,0.03632330225202968,0.7922755278980752,-0.004450093117393164,-0.004429985835418668,0.0,422.8131402811868,422.101477006553,423.8029597252053,425.2113023489529
0.38000000000000006,-0.0043826617684383975,0.005721744119597155,10.16479589783214,0.014893295689746289,0.020962931518424988,0.0,-0.0343813183281092,0.039669752937474614,0.825230927875727,-0.0005579476791796891,0.012507336801118766,0.0,434.93823670385734,439.17271331409006,436.83292061756913,437.8054667978284
