episode,x,y,z,total_reward,rotor
139,0.0,0.0,157.47455733806297,-14349.56608534258,[900.5405803417302]
140,0.0,0.0,157.44679300909633,-14344.843522657105,[901.1662626507473]
141,0.0,0.0,157.51839411671355,-14347.070485334147,[900.224022587754]
142,0.0,0.0,157.4041247314099,-14347.333127383023,[895.5928475533331]
143,0.0,0.0,157.50832047659213,-14345.414037925517,[898.5192439982796]
144,0.0,0.0,157.42879047597216,-14337.372170451774,[900.2004828166713]
145,0.0,0.0,157.37213664219098,-14340.820210211872,[900.4755471234369]
146,0.0,0.0,157.4063660173828,-14341.726176343886,[897.5283815208227]
147,0.0,0.0,157.41460579351954,-14342.143745801139,[901.6024934454326]
148,0.0,0.0,157.38296443450471,-14335.886764934065,[901.0874258125597]
149,0.0,0.0,157.53125797702216,-14350.452796871386,[900.252256171534]
150,0.0,0.0,157.4100151570879,-14343.492252030937,[900.5119142849259]
151,0.0,0.0,157.46477958933033,-14345.186724315507,[896.7160561249611]
152,0.0,0.0,157.58178510782986,-14351.572634252145,[900.5669052641417]
153,0.0,0.0,157.42173405632806,-14349.955371918795,[898.581856632944]
154,0.0,0.0,157.5611876879999,-14364.476581574687,[899.0426689696372]
155,0.0,0.0,157.45148297336266,-14345.85558316447,[898.5750994390824]
156,0.0,0.0,157.51469518519355,-14353.699515655264,[900.0489631983631]
157,0.0,0.0,157.4024497270041,-14340.208141659585,[901.6213708842009]
158,0.0,0.0,157.57080225862524,-14367.935594215103,[899.7660858615003]
159,0.0,0.0,157.54429713321625,-14356.636230287011,[897.95556740708]
160,0.0,0.0,157.5204737819893,-14362.18553441127,[899.8094557939512]
161,0.0,0.0,157.36526420804162,-14336.407079857867,[900.705373807408]
162,0.0,0.0,157.45166425134153,-14355.796851616946,[896.8648889825222]
163,0.0,0.0,157.3349785822141,-14332.64706147866,[898.9887462545547]
164,0.0,0.0,157.46645661349325,-14348.805192637517,[898.5347463131318]
165,0.0,0.0,157.39004213617878,-14332.198853586808,[899.8564121657319]
166,0.0,0.0,157.4466984479716,-14351.188021174208,[903.8684987834041]
167,0.0,0.0,157.4648832011582,-14345.493543334656,[901.2263035853833]
168,0.0,0.0,157.39103938022467,-14343.433489947363,[898.6206719963051]
169,0.0,0.0,157.44930203304813,-14347.180293514837,[902.4483086371445]
170,0.0,0.0,157.55681335656743,-14364.945250630502,[899.5115888250635]
171,0.0,0.0,157.4706920138425,-14349.481424020292,[898.2484916458953]
172,0.0,0.0,157.51999612439053,-14347.323607389304,[898.4434148574395]
173,0.0,0.0,157.52426301198403,-14360.323887560717,[900.4551822110468]
174,0.0,0.0,157.5008557505648,-14353.390588651753,[900.708068861624]
175,0.0,0.0,157.2983183019815,-14324.97507164633,[899.5650035655635]
176,0.0,0.0,157.42420987792622,-14336.088546171242,[899.4203044770013]
177,0.0,0.0,157.56118486094266,-14357.286874900932,[897.373607144004]
178,0.0,0.0,157.43995658871665,-14332.800761228118,[899.51269332697]
179,0.0,0.0,157.38218424490316,-14340.972109357852,[898.8994034550435]
180,0.0,0.0,157.42761354788144,-14343.847379390101,[900.0732076064601]
181,0.0,0.0,157.41217919963714,-14339.138463815141,[901.0849229848818]
182,0.0,0.0,157.47502972693113,-14350.420275847257,[900.4721300120157]
183,0.0,0.0,157.4622446264964,-14343.527502534589,[902.8075695550867]
184,0.0,0.0,157.40347147252226,-14336.851510071772,[900.3662325864328]
185,0.0,0.0,157.48909557552102,-14347.75228388324,[901.826042457742]
186,0.0,0.0,157.40779497713638,-14336.03880656649,[899.6808021977272]
187,0.0,0.0,157.46330897282607,-14349.696758018337,[899.373447519683]
188,0.0,0.0,157.56152694427223,-14363.982241879106,[900.4352517568857]
189,0.0,0.0,157.5038172198652,-14355.60934122411,[898.7077837782696]
190,0.0,0.0,157.60832541163586,-14374.218616964237,[898.7506314090743]
191,0.0,0.0,157.35452752502252,-14334.600356622386,[901.8441816449019]
192,0.0,0.0,157.52790572583626,-14354.033741287065,[899.771594777091]
193,0.0,0.0,157.41533560190197,-14341.79284804625,[899.431065802027]
194,0.0,0.0,157.5006172499676,-14356.154750118523,[900.4792859441156]
195,0.0,0.0,157.40999982962563,-14344.676788351084,[898.7265940920969]
196,0.0,0.0,157.40233115965907,-14341.03210591054,[900.468520181737]
197,0.0,0.0,157.54885003938375,-14361.741429723876,[899.0737855370143]
198,0.0,0.0,157.6151162683845,-14362.1864248258,[898.294668765404]
199,0.0,0.0,157.43216304604388,-14351.23850943937,[899.8381735411704]
200,0.0,0.0,157.45226384993452,-14345.056303183688,[901.9071555679133]
201,0.0,0.0,157.49812119167925,-14355.096597758862,[900.3554614656067]
202,0.0,0.0,157.5665387057336,-14360.667638494328,[899.0373456591066]
203,0.0,0.0,157.34881429043818,-14329.303664617077,[902.8081571175451]
204,0.0,0.0,157.44006369381466,-14346.814442261617,[902.8361141257991]
205,0.0,0.0,157.4776681544691,-14352.53705821071,[899.1953468855887]
206,0.0,0.0,157.45439407585508,-14338.977127402504,[898.7830034104708]
207,0.0,0.0,157.42439350710382,-14346.549243670894,[899.3690207585339]
208,0.0,0.0,157.36878127779647,-14335.702971466926,[898.8743394989785]
209,0.0,0.0,157.506383021887,-14361.188468584913,[899.0601049105503]
210,0.0,0.0,157.38984146663924,-14349.062247883645,[898.5514889456523]
211,0.0,0.0,157.5505148264907,-14368.239144611016,[901.1007580900515]
212,0.0,0.0,157.53837349499028,-14365.948032166789,[899.4803311831819]
213,0.0,0.0,157.47480009676758,-14356.788582911204,[896.8258935347924]
214,0.0,0.0,157.51839005234956,-14364.073626490383,[899.4786006629724]
215,0.0,0.0,157.40449394936218,-14326.404350885066,[901.0067264313761]
216,0.0,0.0,157.45524791150277,-14341.701680451293,[899.1512774601199]
217,0.0,0.0,157.45178205510896,-14346.61626807167,[901.5661075772394]
218,0.0,0.0,157.55663566775473,-14368.221255115004,[896.6544046580121]
219,0.0,0.0,157.3771545286634,-14340.86049174349,[897.8296989931276]
220,0.0,0.0,157.42891594537937,-14344.685734580484,[900.5582172258067]
221,0.0,0.0,157.37684920339802,-14341.299094477923,[903.6537673095312]
222,0.0,0.0,157.49931474219827,-14353.626241438382,[901.6218621757082]
223,0.0,0.0,157.39541503762229,-14341.07476973911,[899.6363055555428]
224,0.0,0.0,157.50536505538508,-14360.045885061594,[901.8717074392576]
225,0.0,0.0,157.47732470403503,-14346.83452278611,[901.6898818098051]
226,0.0,0.0,157.4519537085371,-14342.686808525674,[900.0408199530493]
227,0.0,0.0,157.40140958695707,-14339.605592675289,[901.7563766615741]
228,0.0,0.0,157.51153902450815,-14357.039147553885,[898.5765833763472]
229,0.0,0.0,157.28329487631888,-14316.549345970456,[898.2603393790794]
230,0.0,0.0,157.56241052455894,-14369.566834004416,[901.312496247528]
231,0.0,0.0,157.4057527357327,-14344.676320462824,[899.5296138776627]
232,0.0,0.0,157.51354547165283,-14358.358022671671,[899.6530394654314]
233,0.0,0.0,157.46389825926465,-14348.89709589253,[896.2205277857603]
234,0.0,0.0,157.5836335765903,-14370.838594008075,[899.0088999906291]
235,0.0,0.0,157.50574449996708,-14361.245811392697,[903.5287714506185]
236,0.0,0.0,157.48578666104527,-14350.266052852632,[897.6175385693443]
237,0.0,0.0,157.4109993834671,-14344.233647091061,[901.5217382941039]
238,0.0,0.0,157.51114086346848,-14357.226015743216,[900.7664165485844]
239,0.0,0.0,157.51058318952803,-14354.55161963664,[900.2194699071208]
240,0.0,0.0,157.57710736421942,-14368.669622642201,[898.0162063676278]
241,0.0,0.0,157.37967995298203,-14338.773647648251,[901.051616517493]
242,0.0,0.0,157.39155416267673,-14341.349737842149,[899.4455006704408]
243,0.0,0.0,157.29463112957185,-14326.897822034041,[901.5503489245525]
244,0.0,0.0,157.46280552738713,-14350.215297494467,[902.7923324637189]
245,0.0,0.0,157.50493625580575,-14351.68602740799,[899.1377031407075]
246,0.0,0.0,157.32894443675914,-14327.114947064527,[900.7080842939014]
247,0.0,0.0,157.45843528862179,-14350.71232846653,[902.8074395920643]
248,0.0,0.0,157.47376892160605,-14353.448971740998,[898.6913984647056]
249,0.0,0.0,157.45795177512503,-14346.081393693643,[901.3841434785109]
250,0.0,0.0,157.41342288773203,-14339.344149485281,[898.0698269374124]
251,0.0,0.0,157.42392707981278,-14340.192476323562,[902.9312849639696]
252,0.0,0.0,157.4946691073001,-14362.447523187682,[898.4528855544114]
253,0.0,0.0,157.53512369133395,-14360.743663980138,[900.3400767483699]
254,0.0,0.0,157.4097853516746,-14344.369663087275,[900.2719114540834]
255,0.0,0.0,157.37470516146428,-14335.289989049767,[896.762967762762]
256,0.0,0.0,157.55521212841285,-14368.140190519627,[899.6328425516176]
257,0.0,0.0,157.50577021474416,-14351.027774939736,[901.7619346779185]
258,0.0,0.0,157.4116257612224,-14340.380747039693,[898.698135716744]
259,0.0,0.0,157.48147831186088,-14353.567863087217,[903.1727498320504]
260,0.0,0.0,157.50523692905267,-14354.929341323117,[895.8935752303356]
261,0.0,0.0,157.3442478096748,-14330.751895512265,[897.4083490908041]
262,0.0,0.0,157.49864132111207,-14347.957749641993,[900.865355391114]
263,0.0,0.0,157.50151240528112,-14360.13968071837,[901.7413175615637]
264,0.0,0.0,157.49426943830508,-14348.177017422413,[901.8168123296097]
265,0.0,0.0,157.6402738038593,-14373.441656683113,[899.5887787052394]
266,0.0,0.0,157.40695735172716,-14349.213333051237,[897.4483658683383]
267,0.0,0.0,157.48584902259051,-14353.269132979756,[899.8517609663777]
268,0.0,0.0,157.5243065346135,-14353.402841121051,[900.4316554576232]
269,0.0,0.0,157.49104224695824,-14351.901241413501,[899.9215775551351]
270,0.0,0.0,157.3614818482218,-14340.495792016585,[899.9253534170227]
271,0.0,0.0,157.43305525838008,-14354.390887768168,[900.1124711019625]
272,0.0,0.0,157.40763218295584,-14344.06526510253,[902.6907417485014]
273,0.0,0.0,157.34556503782025,-14339.57307057378,[899.1642651914595]
274,0.0,0.0,157.5208974688008,-14355.18330553651,[901.0061556122295]
275,0.0,0.0,157.4597476915694,-14346.946406834837,[901.9029663618988]
276,0.0,0.0,157.46673955114602,-14352.072822581873,[901.7971181822782]
277,0.0,0.0,157.38111619846555,-14341.637312639725,[898.5724624292081]
278,0.0,0.0,157.42724030974594,-14348.095666868472,[899.9595500048564]
279,0.0,0.0,157.4720567553222,-14357.150299881772,[899.6760546478773]
280,0.0,0.0,157.48725407811565,-14340.283661679054,[900.1283968146033]
281,0.0,0.0,157.3959693815183,-14333.70969059019,[900.204410407322]
282,0.0,0.0,157.44217290361607,-14343.379968059111,[901.6463562979508]
283,0.0,0.0,157.50036760531077,-14357.585152987129,[899.3257648520346]
284,0.0,0.0,157.4266152712698,-14344.332451492182,[900.9099092757451]
285,0.0,0.0,157.3986174062259,-14343.0676944094,[903.913794960087]
286,0.0,0.0,157.41639616742708,-14338.619847991486,[898.8906135517954]
287,0.0,0.0,157.4188701147422,-14347.032278445427,[899.7420465367311]
288,0.0,0.0,157.4163710654595,-14336.347950097317,[901.0356611233985]
289,0.0,0.0,157.58282483965695,-14365.46603765477,[901.759976282715]
290,0.0,0.0,157.5106185214384,-14349.94863780788,[898.4613252077982]
291,0.0,0.0,157.55949236575762,-14361.719956186183,[900.89614064608]
292,0.0,0.0,157.58284063850667,-14357.51645992013,[900.6338979350961]
293,0.0,0.0,157.34589545282083,-14341.24116707539,[898.5758572471736]
294,0.0,0.0,157.46611917668534,-14349.51422193429,[902.0824210572143]
295,0.0,0.0,157.5448218568968,-14361.782391591687,[899.6774775894185]
296,0.0,0.0,157.4613173461535,-14352.419457038004,[898.5199775459606]
297,0.0,0.0,157.4165162627566,-14350.312405465507,[901.939151880873]
298,0.0,0.0,157.41821566835267,-14342.526523715775,[899.4057631584295]
